or_code;or_siren;or_nom;or_type;or_activ;or_l331;or_siret;or_nometab;or_ad_code;or_nomvoie;or_numero;or_rep;or_local;or_postal;or_commune;or_telfixe;or_mail;or_comment;or_creadat;or_majdate;or_majsrc;or_abddate;or_abdsrc
OR033001000000;750531253;@FER Conseil;Operateur;;AFER;75053125300011;;;14 RUE DE LIMOGES  56000 VANNES;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000001;749812558;1.0 ACOLA;Operateur;;ACOL;74981255800015;;;20 BIS RUE LOUIS PHILIPPE  92200 NEUILLY SUR SEINE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000002;453465379;118000;Operateur;;TLGT;45346537900056;;;137 BOULEVARD DE SEBASTOPOL  75002 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000003;478343080;118218 Le numéro;Operateur;;LNUM;47834308000022;;;3 RUE DE GRAMONT  75002 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000004;819271925;118500.fr;Operateur;;11FR;81927192500011;;;12 BOULEVARD D ATHENES  13001 MARSEILLE;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000005;791025810;123 domotique;Operateur;;123D;79102581000015;;;CHEZ ECONOMIS 2 PLACE ALEXANDRE FARNESE  84000 AVIGNON;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000006;798073375;123 Multimedia;Operateur;;123U;79807337500015;;;9 IMPASSE DU MESCURT  31470 SAINT-LYS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000007;791450349;16 TELECOM;Operateur;;16TE;79145034900018;;;2 BIS RUE DUPONT DE L EURE  75020 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000008;495105967;17-NUMERIQUE;Operateur;;17N;49510596700022;;;ZONE INDUSTRIELLE DES QUATRE CHEVALIER  17180 PERIGNY;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000009;812675395;1IT solution;Operateur;;1ITS;81267539500022;;;LOT 511 32 RUE DE PARADIS  75010 PARIS;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000010;793263765;1TELCOM;Operateur;;1TEL;79326376500018;;;PEPINIERE D ENTREPRISES 2 RUE DES CHARDONNERETS  08000 CHARLEVILLE MEZIERES;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000011;401563093;2 F IMAGE;Operateur;;2FIM;40156309300038;;;3 RUE DES VERGERS  21121 HAUTEVILLE-LES-DIJON;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000012;804848513;2 IDM;Operateur;;2IDM;80484851300011;;;28 RUE DU TERTRE  45300 COURCELLES;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000013;795029750;21 Telecom;Operateur;;21TE;79502975000010;;;29 RUE ESPRIT DES LOIS  33000 BORDEAUX;;;;;;;;;2017-11-19 22:30:50;;;;
OR033001000014; ;21NET LTD;Operateur;;21NE; ;;;THE ELMS COURTYARD BROMESBERROW  HR8 1RZ LEDBURY   ROYAUME-UNI;;;;;;;;;2017-11-19 22:30:50;;;;
OR033000001053;233500016;Conseil régional de Bretagne;Région;Administration publique générale (8411Z);;23350001600040;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000000043;;Conseil Général Haute-Loire;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000000063;;Conseil Général Puy-de-Dôme;Département;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000001001;;Conseil régional de Guadeloupe;Région;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000001002;;Conseil régional de Martinique;Région;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
OR033000001003;;Conseil régional de Guyane;Région;Administration publique générale (8411Z);;;;;;;;;;;;;;2017-11-19 22:54:23;;;;
