rf_code;rf_type;rf_fabric;rf_design;rf_etat;rf_comment;rf_creadat;rf_majdate;rf_majsrc;rf_abddate;rf_abdsrc
RF033000000001;BP;OR033002100000;OFDC;A;;2017-11-20 21:31:26;;;;
RF033000000002;BP;OR033002100000;OFMC;A;;2017-11-20 21:32:43;;;;
RF033000000003;BP;OR033002100000;FIST-BD;A;;2017-11-20 21:34:15;;;;
RF033000000014;CA;OR033002100003;UND1558 - CABLE 432FO;A;;2017-11-20 22:41:54;;;;
RF033000000015;CA;OR033002100003;UND1558 - CABLE 576FO;A;;2017-11-20 22:41:54;;;;
RF033000000016;CA;OR033002100003;UND1558 - CABLE 720FO;A;;2017-11-20 22:41:54;;;;
RF033000000017;CA;OR033002100003;UND1558 - CABLE 864FO;A;;2017-11-20 22:41:54;;;;
RF033000000018;TI;OR033002100012;MOF144R2;A;;2017-11-20 22:41:54;;;;
RF033000000020;BP;OR033002100000;IFDB-M;A;;2017-11-20 22:41:54;;;;
RF033000000021;BP;OR033002100000;IFDB-M;A;;2017-11-20 22:41:54;;;;
RF033000000023;CA;OR033002100003;UND1533 - CABLE 288FO;A;;2017-11-20 22:41:54;;;;
RF033000000025;BP;OR033002100000;FIST-GC02-BF8;A;;2017-11-20 22:41:54;;;;
RF033000000026;BA;OR033002100012;ODF42U;A;;2017-11-20 22:41:54;;;;
RF033000000027;CS;OR033002100000;SLE;A;;2017-11-20 22:41:54;2018-06-25 00:00:00;;;
RF033000000028;BP;OR033002100012;PTO-4F0-F;A;;2017-11-20 22:41:54;;;;
RF033000000029;TI;OR033002100012;MOF48R1;A;;2017-11-20 22:41:54;;;;
RF033000000031;CA;OR033002100003;ACOPTIC-CCC 1577;A;;2018-06-25 00:00:00;;axione;;
RF033000000032;CA;OR033002100003;ACOPTIC-CCC 1577;A;;2018-06-25 00:00:00;;axione;;
RF033000000037;CA;OR033002100003;HTADSS;A;;2018-06-25 00:00:00;;axione;;
RF033000000055;CA;OR033002100017;CT-C-17129E-A6NNHY288-R0;A;;2018-06-25 00:00:00;;axione;;
RF033000000056;CA;OR033002100017;CT-C-17129E-A6NHY864-R0;A;;2018-06-25 00:00:00;;axione;;
RF033000000057;CA;OR033002100017;CT-C-17129E-HTNNHY288-R0;A;;2018-06-25 00:00:00;;axione;;
RF033000000058;CA;OR033002100017;CT-C-17129E-HTNNHY288-R0;A;;2018-06-25 00:00:00;;axione;;
RF033000000059;CA;OR033002100017;CT-C-17129E-RINNHY288-R0;A;;2018-06-25 00:00:00;;axione;;
RF033000000060;CA;OR033002100017;CT-C-17129E-UNNNHY288-R0;A;;2018-06-25 00:00:00;;axione;;
RF033000000061;CA;OR033002100017;CT-C-17129E-UNNNHY288-R0;A;;2018-06-25 00:00:00;;axione;;
RF033000000062;CA;OR033002100017;CT-C-17129E-UNNHY864-R0;A;;2018-06-25 00:00:00;;axione;;
RF033000000063;CA;OR033002100019;LSGS-14-OC0314-04;A;;2018-06-25 00:00:00;;axione;;
RF033000000064;CA;OR033002100019;LSGS-17-OC0011-01;A;;2018-06-25 00:00:00;;axione;;
RF033000000065;CA;OR033002100019;LSGS-17-OC0142-00;A;;2018-06-25 00:00:00;;axione;;
RF033000000066;CA;OR033002100019;LSGS-17-OC0451-00;A;;2018-06-25 00:00:00;;axione;;
RF033000000067;CA;OR033002100019;LSGS-17-OC0452-00;A;;2018-06-25 00:00:00;;axione;;
RF033000000068;CA;OR033002100019;LSGS-17-OC0453-00;A;;2018-06-25 00:00:00;;axione;;
RF033000000069;CA;OR033002100019;LSGS-17-OC0454-00;A;;2018-06-25 00:00:00;;axione;;
RF033000000070;CA;OR033002100008;SP1825;A;;2018-06-25 00:00:00;;axione;;
RF033000000071;CA;OR033002100008;SP1825;A;;2018-06-25 00:00:00;;axione;;
RF033000000072;CA;OR033002100008;SP1829;A;;2018-06-25 00:00:00;;axione;;
RF033000000073;CA;OR033002100008;SP1829;A;;2018-06-25 00:00:00;;axione;;
RF033000000074;CA;OR033002100002;SP1839;A;;2018-06-25 00:00:00;;axione;;
RF033000000075;CA;OR033002100002;SP1839;A;;2018-06-25 00:00:00;;axione;;
RF033000000004;BP;OR033002100000;FIST-GCO2-FR6;A;;2017-11-20 22:41:54;;;;
RF033000000005;BP;OR033002100000;FIST-GCO2-BC8;A;;2017-11-20 22:41:54;;;;
RF033000000006;BP;OR033002100000;FIST-GCO2-BD8;A;;2017-11-20 22:41:54;;;;
RF033000000007;BP;OR033002100000;FIST-GCO2-BE8;A;;2017-11-20 22:41:54;;;;
RF033000000008;CA;OR033002100003;UNC1566 - CABLE 12FO;A;;2017-11-20 22:41:54;;;;
RF033000000009;CA;OR033002100003;UNC1566 - CABLE 24FO;A;;2017-11-20 22:41:54;;;;
RF033000000010;CA;OR033002100003;UNC1566 - CABLE 48FO;A;;2017-11-20 22:41:54;;;;
RF033000000011;CA;OR033002100003;UNC1566 - CABLE 72FO;A;;2017-11-20 22:41:54;;;;
RF033000000012;CA;OR033002100003;UNC1566 - CABLE 96FO;A;;2017-11-20 22:41:54;;;;
RF033000000013;CA;OR033002100003;UNC1566 - CABLE 144FO;A;;2017-11-20 22:41:54;;;;
RF033000000030;BP;OR033002100012;PTO-12F0-F;A;;2017-11-20 22:41:54;;;;
RF033000000076;CA;OR033002100002;SP1840;A;;2018-06-25 00:00:00;;axione;;
RF033000000077;CA;OR033002100002;SP1840;A;;2018-06-25 00:00:00;;axione;;
RF033000000078;CA;OR033002100002;SP1842;A;;2018-06-25 00:00:00;;axione;;
RF033000000079;CA;OR033002100002;SP1843;A;;2018-06-25 00:00:00;;axione;;
RF033000000080;CA;OR033002100002;SP1845;A;;2018-06-25 00:00:00;;axione;;
RF033000000081;CA;OR033002100002;SP1848;A;;2018-06-25 00:00:00;;axione;;
RF033000000082;CA;OR033002100002;SP1858;A;;2018-06-25 00:00:00;;axione;;
RF033000000083;CA;OR033002100002;SP1858;A;;2018-06-25 00:00:00;;axione;;
RF033000000084;CA;OR033002100002;SP1868;A;;2018-06-25 00:00:00;;axione;;
RF033000000085;CA;OR033002100002;LM-SG 42LZ;A;;2018-06-25 00:00:00;;axione;;
RF033000000086;CA;OR033002100002;LM-SG 48LZ;A;;2018-06-25 00:00:00;;axione;;
RF033000000087;CA;OR033002100002;LM-SG 60LZ;A;;2018-06-25 00:00:00;;axione;;
RF033000000088;CA;OR033002100002;SP1799;A;;2018-06-25 00:00:00;;axione;;
RF033000000089;CA;OR033002100002;SP 1638;A;;2018-06-25 00:00:00;;axione;;
RF033000000090;CA;OR033002100002;SP 1562;A;;2018-06-25 00:00:00;;axione;;
RF033000000091;CA;OR033002100002;SP 1555;A;;2018-06-25 00:00:00;;axione;;
RF033000000092;CA;OR033002100002;LF-SG-60LF;A;;2018-06-25 00:00:00;;axione;;
RF033000000093;CA;OR033002100002;LF-SG-48LF;A;;2018-06-25 00:00:00;;axione;;
RF033000000094;CA;OR033002100002;LF-SG-36LF;A;;2018-06-25 00:00:00;;axione;;
RF033000000095;CA;OR033002100020;O-FT06;A;;2018-06-25 00:00:00;;axione;;
RF033000000096;CA;OR033002100020;O-FT12;A;;2018-06-25 00:00:00;;axione;;
RF033000000097;CA;OR033002100021;ADSS LT;A;;2018-06-25 00:00:00;;axione;;
RF033000000098;CA;OR033002100021;ADSS LT;A;;2018-06-25 00:00:00;;axione;;
RF033000000099;CA;OR033002100021;TF103D;A;;2018-06-25 00:00:00;;axione;;
RF033000000100;CA;OR033002100021;TF103G;A;;2018-06-25 00:00:00;;axione;;
RF033000000101;CA;OR033002100021;TF303D;A;;2018-06-25 00:00:00;;axione;;
RF033000000102;CA;OR033002100021;TF303G;A;;2018-06-25 00:00:00;;axione;;
RF033000000103;CA;OR033002100021;TF301D;A;;2018-06-25 00:00:00;;axione;;
RF033000000104;CA;OR033002100021;TF301G;A;;2018-06-25 00:00:00;;axione;;
RF033000000105;CA;OR033002100021;TC00548;A;;2018-06-25 00:00:00;;axione;;
RF033000000106;CA;OR033002100021;TC00549;A;;2018-06-25 00:00:00;;axione;;
